customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,snapshot_date_x,churn_next_60d,split,snapshot_date_y,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,snapshot_date,last_campaign_received,last_campaign_cost,manual_priority_bucket
CUST00001,2024-04-24,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes,2025-09-30,1,train,2025-09-30,1,4,0,0,0,2,0,20,2025-09-30,welcome_offer,25,high
CUST00002,2025-06-01,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes,2025-09-30,0,train,2025-09-30,8,31,4,2,3,0,0,0,2025-09-30,free_shipping,12,medium
CUST00003,2025-03-08,Tier 1,25-34,Influencer,,Skin Care,Oily,Yes,2025-09-30,1,train,2025-09-30,1,3,0,0,0,0,0,26,2025-09-30,none,18,high
CUST00004,2025-04-15,Tier 3,25-34,Google Search,,Fragrance,Normal,No,2025-09-30,1,train,2025-09-30,1,6,0,0,0,0,0,14,2025-09-30,free_shipping,40,high
CUST00005,2024-08-21,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes,2025-09-30,0,train,2025-09-30,18,95,4,1,1,3,1,9,2025-09-30,welcome_offer,18,medium
CUST00006,2024-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes,2025-09-30,0,validation,2025-09-30,2,8,1,0,1,0,0,1,2025-09-30,none,12,medium
CUST00007,2025-07-24,Tier 1,18-24,Organic,,Fragrance,Sensitive,Yes,2025-09-30,0,train,2025-09-30,11,61,3,2,2,10,3,12,2025-09-30,free_shipping,0,low
CUST00008,2024-11-18,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes,2025-09-30,0,validation,2025-09-30,2,11,1,0,0,0,0,16,2025-09-30,bundle_discount,25,medium
CUST00009,2025-08-20,Tier 1,25-34,Influencer,,Skin Care,Oily,No,2025-09-30,0,train,2025-09-30,11,57,3,3,2,0,0,6,2025-09-30,none,40,low
CUST00010,2025-09-02,Tier 1,18-24,Influencer,,Wellness,Oily,Yes,2025-09-30,0,train,2025-09-30,13,71,3,3,2,6,0,5,2025-09-30,none,40,low
